driverID,carPlateNumber,isOverspeed,Speed,Time
haowei1000008,华A709GB,,102,2017-01-02T16:00:10.000+08:00
hanhui1000002,华AZI419,,65,2017-01-02T16:00:10.000+08:00
haowei1000008,华A709GB,,86,2017-01-02T16:00:20.000+08:00
hanhui1000002,华AZI419,,76,2017-01-02T16:00:20.000+08:00
haowei1000008,华A709GB,,65,2017-01-02T16:00:30.000+08:00
hanhui1000002,华AZI419,,73,2017-01-02T16:00:30.000+08:00
haowei1000008,华A709GB,,114,2017-01-02T16:00:40.000+08:00
hanhui1000002,华AZI419,,66,2017-01-02T16:00:40.000+08:00
hanhui1000002,华AZI419,1,143,2017-01-02T16:00:41.000+08:00
haowei1000008,华A709GB,,104,2017-01-02T16:00:50.000+08:00
hanhui1000002,华AZI419,,129,2017-01-02T16:00:50.000+08:00
hanhui1000002,华AZI419,,120,2017-01-02T16:00:51.000+08:00
haowei1000008,华A709GB,,96,2017-01-02T16:01:00.000+08:00
hanhui1000002,华AZI419,,83,2017-01-02T16:01:00.000+08:00
hanhui1000002,华AZI419,,115,2017-01-02T16:01:07.000+08:00
haowei1000008,华A709GB,,90,2017-01-02T16:01:10.000+08:00
hanhui1000002,华AZI419,,87,2017-01-02T16:01:10.000+08:00
haowei1000008,华A709GB,,96,2017-01-02T16:01:20.000+08:00
hanhui1000002,华AZI419,,99,2017-01-02T16:01:20.000+08:00
haowei1000008,华A709GB,,69,2017-01-02T16:01:30.000+08:00
hanhui1000002,华AZI419,,74,2017-01-02T16:01:30.000+08:00
haowei1000008,华A709GB,,75,2017-01-02T16:01:40.000+08:00
hanhui1000002,华AZI419,,79,2017-01-02T16:01:40.000+08:00
haowei1000008,华A709GB,,82,2017-01-02T16:01:50.000+08:00
hanhui1000002,华AZI419,,74,2017-01-02T16:01:50.000+08:00
haowei1000008,华A709GB,,107,2017-01-02T16:02:00.000+08:00
hanhui1000002,华AZI419,,94,2017-01-02T16:02:00.000+08:00
haowei1000008,华A709GB,,94,2017-01-02T16:02:02.000+08:00
haowei1000008,华A709GB,,62,2017-01-02T16:02:10.000+08:00
hanhui1000002,华AZI419,,86,2017-01-02T16:02:10.000+08:00
haowei1000008,华A709GB,,74,2017-01-02T16:02:20.000+08:00
haowei1000008,华A709GB,,99,2017-01-02T16:02:20.000+08:00
hanhui1000002,华AZI419,,116,2017-01-02T16:02:20.000+08:00
haowei1000008,华A709GB,,77,2017-01-02T16:02:30.000+08:00
