driverID,carPlateNumber,isOverspeed,Speed,speed_time
likun1000003,华AVM936,1,136,2017-01-05T16:00:04.000
likun1000003,华AVM936,,121,2017-01-05T16:00:10.000
likun1000003,华AVM936,,142,2017-01-05T16:00:20.000
likun1000003,华AVM936,,145,2017-01-05T16:00:30.000
likun1000003,华AVM936,,120,2017-01-05T16:00:32.000
likun1000003,华AVM936,,90,2017-01-05T16:00:40.000
likun1000003,华AVM936,,88,2017-01-05T16:00:50.000
likun1000003,华AVM936,,110,2017-01-05T16:01:00.000
likun1000003,华AVM936,,95,2017-01-05T16:01:10.000
likun1000003,华AVM936,,73,2017-01-05T16:01:20.000
likun1000003,华AVM936,,87,2017-01-05T16:01:30.000
likun1000003,华AVM936,,87,2017-01-05T16:01:40.000
likun1000003,华AVM936,1,132,2017-01-05T16:01:48.000
likun1000003,华AVM936,,120,2017-01-05T16:01:49.000
likun1000003,华AVM936,,79,2017-01-05T16:01:50.000
likun1000003,华AVM936,,80,2017-01-05T16:02:00.000
likun1000003,华AVM936,,63,2017-01-05T16:02:10.000
likun1000003,华AVM936,,90,2017-01-05T16:02:20.000
likun1000003,华AVM936,1,144,2017-01-05T16:02:26.000
likun1000003,华AVM936,,135,2017-01-05T16:02:30.000
likun1000003,华AVM936,,127,2017-01-05T16:02:34.000
likun1000003,华AVM936,,123,2017-01-05T16:02:39.000
likun1000003,华AVM936,,120,2017-01-05T16:02:39.000
likun1000003,华AVM936,,71,2017-01-05T16:02:40.000
likun1000003,华AVM936,,97,2017-01-05T16:02:50.000
likun1000003,华AVM936,,91,2017-01-05T16:03:00.000
likun1000003,华AVM936,,99,2017-01-05T16:03:09.000
likun1000003,华AVM936,,97,2017-01-05T16:03:10.000
likun1000003,华AVM936,,65,2017-01-05T16:03:20.000
likun1000003,华AVM936,,100,2017-01-05T16:03:30.000
likun1000003,华AVM936,,88,2017-01-05T16:03:40.000
likun1000003,华AVM936,,119,2017-01-05T16:03:50.000
likun1000003,华AVM936,,96,2017-01-05T16:04:00.000
likun1000003,华AVM936,,87,2017-01-05T16:04:10.000
likun1000003,华AVM936,,89,2017-01-05T16:04:20.000
likun1000003,华AVM936,,116,2017-01-05T16:04:30.000
likun1000003,华AVM936,,71,2017-01-05T16:04:40.000
likun1000003,华AVM936,,70,2017-01-05T16:04:50.000
likun1000003,华AVM936,,95,2017-01-05T16:05:00.000
likun1000003,华AVM936,,90,2017-01-05T16:05:00.000
likun1000003,华AVM936,,60,2017-01-05T16:05:10.000
likun1000003,华AVM936,,65,2017-01-05T16:05:19.000
likun1000003,华AVM936,,108,2017-01-05T16:05:20.000
likun1000003,华AVM936,,73,2017-01-05T16:05:22.000
likun1000003,华AVM936,,60,2017-01-05T16:05:30.000
likun1000003,华AVM936,,116,2017-01-05T16:05:40.000
likun1000003,华AVM936,,86,2017-01-05T16:05:50.000
likun1000003,华AVM936,,119,2017-01-05T16:06:00.000
likun1000003,华AVM936,,85,2017-01-05T16:06:10.000
likun1000003,华AVM936,,85,2017-01-05T16:06:20.000
likun1000003,华AVM936,,118,2017-01-05T16:06:30.000
likun1000003,华AVM936,,108,2017-01-05T16:06:40.000
likun1000003,华AVM936,,116,2017-01-05T16:06:50.000
likun1000003,华AVM936,,77,2017-01-05T16:07:00.000
likun1000003,华AVM936,,116,2017-01-05T16:07:10.000
likun1000003,华AVM936,,98,2017-01-05T16:07:11.000
likun1000003,华AVM936,,75,2017-01-05T16:07:20.000
likun1000003,华AVM936,1,123,2017-01-05T16:07:20.000
likun1000003,华AVM936,,143,2017-01-05T16:07:30.000
likun1000003,华AVM936,,120,2017-01-05T16:07:33.000
likun1000003,华AVM936,,80,2017-01-05T16:07:40.000
likun1000003,华AVM936,,117,2017-01-05T16:07:50.000
likun1000003,华AVM936,,110,2017-01-05T16:08:00.000
likun1000003,华AVM936,,60,2017-01-05T16:08:10.000
likun1000003,华AVM936,,89,2017-01-05T16:08:20.000
likun1000003,华AVM936,,114,2017-01-05T16:08:22.000
likun1000003,华AVM936,,115,2017-01-05T16:08:30.000
likun1000003,华AVM936,,119,2017-01-05T16:08:40.000
likun1000003,华AVM936,,104,2017-01-05T16:08:50.000
likun1000003,华AVM936,,93,2017-01-05T16:09:00.000
likun1000003,华AVM936,,70,2017-01-05T16:09:10.000
likun1000003,华AVM936,,101,2017-01-05T16:09:20.000
likun1000003,华AVM936,,77,2017-01-05T16:09:30.000
likun1000003,华AVM936,,66,2017-01-05T16:09:40.000
likun1000003,华AVM936,,67,2017-01-05T16:09:50.000
likun1000003,华AVM936,,72,2017-01-05T16:10:00.000
likun1000003,华AVM936,,105,2017-01-05T16:10:10.000
likun1000003,华AVM936,,99,2017-01-05T16:10:20.000
likun1000003,华AVM936,,89,2017-01-05T16:10:30.000
likun1000003,华AVM936,,76,2017-01-05T16:10:40.000
likun1000003,华AVM936,,85,2017-01-05T16:10:50.000
likun1000003,华AVM936,,85,2017-01-05T16:11:00.000
likun1000003,华AVM936,,117,2017-01-05T16:11:10.000
likun1000003,华AVM936,,82,2017-01-05T16:11:20.000
likun1000003,华AVM936,,84,2017-01-05T16:11:30.000
likun1000003,华AVM936,,118,2017-01-05T16:11:40.000
likun1000003,华AVM936,,104,2017-01-05T16:11:50.000
likun1000003,华AVM936,,63,2017-01-05T16:12:00.000
likun1000003,华AVM936,,67,2017-01-05T16:12:10.000
likun1000003,华AVM936,1,120,2017-01-05T16:12:16.000
likun1000003,华AVM936,,120,2017-01-05T16:12:16.000
likun1000003,华AVM936,,68,2017-01-05T16:12:20.000
likun1000003,华AVM936,,65,2017-01-05T16:12:30.000
likun1000003,华AVM936,1,145,2017-01-05T16:12:36.000
likun1000003,华AVM936,,136,2017-01-05T16:12:40.000
likun1000003,华AVM936,,120,2017-01-05T16:12:44.000
likun1000003,华AVM936,,89,2017-01-05T16:12:50.000
likun1000003,华AVM936,,64,2017-01-05T16:13:00.000
likun1000003,华AVM936,,115,2017-01-05T16:13:10.000
likun1000003,华AVM936,,78,2017-01-05T16:13:20.000
likun1000003,华AVM936,,99,2017-01-05T16:13:30.000
likun1000003,华AVM936,,101,2017-01-05T16:13:40.000
likun1000003,华AVM936,,93,2017-01-05T16:13:50.000
likun1000003,华AVM936,,112,2017-01-05T16:13:58.000
likun1000003,华AVM936,,75,2017-01-05T16:14:00.000
likun1000003,华AVM936,,68,2017-01-05T16:14:10.000
likun1000003,华AVM936,,88,2017-01-05T16:14:20.000
likun1000003,华AVM936,,89,2017-01-05T16:14:30.000
likun1000003,华AVM936,,104,2017-01-05T16:14:40.000
likun1000003,华AVM936,,84,2017-01-05T16:14:50.000
likun1000003,华AVM936,,114,2017-01-05T16:15:00.000
likun1000003,华AVM936,1,123,2017-01-05T16:15:00.000
likun1000003,华AVM936,,120,2017-01-05T16:15:08.000
likun1000003,华AVM936,,96,2017-01-05T16:15:10.000
likun1000003,华AVM936,,97,2017-01-05T16:15:20.000
likun1000003,华AVM936,,69,2017-01-05T16:15:30.000
likun1000003,华AVM936,,75,2017-01-05T16:15:40.000
likun1000003,华AVM936,,67,2017-01-05T16:15:46.000
likun1000003,华AVM936,,108,2017-01-05T16:15:50.000
likun1000003,华AVM936,,111,2017-01-05T16:16:00.000
likun1000003,华AVM936,1,142,2017-01-05T16:16:03.000
likun1000003,华AVM936,,148,2017-01-05T16:16:10.000
likun1000003,华AVM936,,148,2017-01-05T16:16:20.000
likun1000003,华AVM936,,120,2017-01-05T16:16:20.000
likun1000003,华AVM936,,69,2017-01-05T16:16:21.000
likun1000003,华AVM936,,114,2017-01-05T16:16:30.000
likun1000003,华AVM936,,93,2017-01-05T16:16:40.000
likun1000003,华AVM936,,69,2017-01-05T16:16:50.000
likun1000003,华AVM936,,63,2017-01-05T16:17:00.000
likun1000003,华AVM936,1,125,2017-01-05T16:17:04.000
likun1000003,华AVM936,,137,2017-01-05T16:17:06.000
