driverID,carPlateNumber,isOverspeed,Speed,speed_time
likun1000003,华AVM936,,72,2017-01-01T08:00:05.000
haowei1000008,华A709GB,1,143,2017-01-01T08:00:08.000
haowei1000008,华A709GB,,120,2017-01-01T08:00:08.000
zouan1000007,华A58M83,,77,2017-01-01T08:00:10.000
haowei1000008,华A709GB,,99,2017-01-01T08:00:10.000
zengpeng1000000,华AZQ110,,71,2017-01-01T08:00:10.000
xiexiao1000001,华AEB132,,105,2017-01-01T08:00:10.000
shenxian1000004,华ADJ750,,88,2017-01-01T08:00:10.000
likun1000003,华AVM936,,82,2017-01-01T08:00:10.000
panxian1000005,华AX542C,,67,2017-01-01T08:00:10.000
hanhui1000002,华AZI419,,97,2017-01-01T08:00:10.000
duxu1000009,华AT75H8,,104,2017-01-01T08:00:10.000
zouan1000007,华A58M83,1,139,2017-01-01T08:00:12.000
duxu1000009,华AT75H8,1,137,2017-01-01T08:00:13.000
duxu1000009,华AT75H8,,120,2017-01-01T08:00:14.000
zouan1000007,华A58M83,,120,2017-01-01T08:00:20.000
haowei1000008,华A709GB,,93,2017-01-01T08:00:20.000
zengpeng1000000,华AZQ110,,73,2017-01-01T08:00:20.000
xiexiao1000001,华AEB132,,71,2017-01-01T08:00:20.000
shenxian1000004,华ADJ750,,87,2017-01-01T08:00:20.000
likun1000003,华AVM936,,103,2017-01-01T08:00:20.000
panxian1000005,华AX542C,,95,2017-01-01T08:00:20.000
hanhui1000002,华AZI419,,108,2017-01-01T08:00:20.000
duxu1000009,华AT75H8,,93,2017-01-01T08:00:20.000
zouan1000007,华A58M83,,131,2017-01-01T08:00:24.000
haowei1000008,华A709GB,1,130,2017-01-01T08:00:29.000
haowei1000008,华A709GB,,120,2017-01-01T08:00:29.000
duxu1000009,华AT75H8,,105,2017-01-01T08:00:29.000
zouan1000007,华A58M83,,128,2017-01-01T08:00:30.000
haowei1000008,华A709GB,,66,2017-01-01T08:00:30.000
zengpeng1000000,华AZQ110,,73,2017-01-01T08:00:30.000
xiexiao1000001,华AEB132,,100,2017-01-01T08:00:30.000
shenxian1000004,华ADJ750,,111,2017-01-01T08:00:30.000
likun1000003,华AVM936,,88,2017-01-01T08:00:30.000
panxian1000005,华AX542C,,98,2017-01-01T08:00:30.000
hanhui1000002,华AZI419,,103,2017-01-01T08:00:30.000
duxu1000009,华AT75H8,,104,2017-01-01T08:00:30.000
hanhui1000002,华AZI419,,62,2017-01-01T08:00:32.000
panxian1000005,华AX542C,,94,2017-01-01T08:00:33.000
hanhui1000002,华AZI419,1,121,2017-01-01T08:00:37.000
zouan1000007,华A58M83,,131,2017-01-01T08:00:40.000
haowei1000008,华A709GB,,112,2017-01-01T08:00:40.000
zengpeng1000000,华AZQ110,,113,2017-01-01T08:00:40.000
xiexiao1000001,华AEB132,,109,2017-01-01T08:00:40.000
shenxian1000004,华ADJ750,,86,2017-01-01T08:00:40.000
