driverID,carPlateNumber,isOverspeed,Speed,speed_time
xiexiao1000001,华AEB132,,77,2017-01-03T16:00:10.000
xiexiao1000001,华AEB132,,85,2017-01-03T16:00:20.000
xiexiao1000001,华AEB132,1,120,2017-01-03T16:00:21.000
xiexiao1000001,华AEB132,,120,2017-01-03T16:00:25.000
xiexiao1000001,华AEB132,,66,2017-01-03T16:00:30.000
xiexiao1000001,华AEB132,,96,2017-01-03T16:00:40.000
xiexiao1000001,华AEB132,,77,2017-01-03T16:00:50.000
xiexiao1000001,华AEB132,,91,2017-01-03T16:01:00.000
xiexiao1000001,华AEB132,,103,2017-01-03T16:01:10.000
xiexiao1000001,华AEB132,1,149,2017-01-03T16:01:19.000
xiexiao1000001,华AEB132,,120,2017-01-03T16:01:19.000
xiexiao1000001,华AEB132,,71,2017-01-03T16:01:19.000
xiexiao1000001,华AEB132,1,136,2017-01-03T16:01:19.000
xiexiao1000001,华AEB132,,120,2017-01-03T16:01:19.000
xiexiao1000001,华AEB132,,85,2017-01-03T16:01:20.000
xiexiao1000001,华AEB132,,80,2017-01-03T16:01:30.000
xiexiao1000001,华AEB132,,111,2017-01-03T16:01:40.000
xiexiao1000001,华AEB132,,89,2017-01-03T16:01:50.000
xiexiao1000001,华AEB132,,89,2017-01-03T16:02:00.000
xiexiao1000001,华AEB132,,106,2017-01-03T16:02:10.000
xiexiao1000001,华AEB132,,68,2017-01-03T16:02:12.000
xiexiao1000001,华AEB132,,101,2017-01-03T16:02:20.000
xiexiao1000001,华AEB132,,71,2017-01-03T16:02:30.000
xiexiao1000001,华AEB132,,81,2017-01-03T16:02:40.000
xiexiao1000001,华AEB132,,71,2017-01-03T16:02:50.000
xiexiao1000001,华AEB132,,65,2017-01-03T16:03:00.000
xiexiao1000001,华AEB132,,113,2017-01-03T16:03:10.000
xiexiao1000001,华AEB132,,97,2017-01-03T16:03:20.000
xiexiao1000001,华AEB132,,96,2017-01-03T16:03:30.000
xiexiao1000001,华AEB132,,93,2017-01-03T16:03:40.000
xiexiao1000001,华AEB132,,79,2017-01-03T16:03:50.000
xiexiao1000001,华AEB132,,90,2017-01-03T16:04:00.000
xiexiao1000001,华AEB132,,63,2017-01-03T16:04:00.000
xiexiao1000001,华AEB132,,103,2017-01-03T16:04:10.000
xiexiao1000001,华AEB132,,96,2017-01-03T16:04:20.000
xiexiao1000001,华AEB132,,118,2017-01-03T16:04:30.000
xiexiao1000001,华AEB132,,70,2017-01-03T16:04:40.000
xiexiao1000001,华AEB132,,68,2017-01-03T16:04:50.000
xiexiao1000001,华AEB132,,65,2017-01-03T16:05:00.000
xiexiao1000001,华AEB132,,102,2017-01-03T16:05:10.000
xiexiao1000001,华AEB132,,89,2017-01-03T16:05:20.000
xiexiao1000001,华AEB132,,71,2017-01-03T16:05:30.000
xiexiao1000001,华AEB132,,114,2017-01-03T16:05:40.000
xiexiao1000001,华AEB132,,85,2017-01-03T16:05:50.000
xiexiao1000001,华AEB132,,110,2017-01-03T16:06:00.000
xiexiao1000001,华AEB132,,88,2017-01-03T16:06:10.000
xiexiao1000001,华AEB132,,110,2017-01-03T16:06:20.000
xiexiao1000001,华AEB132,,112,2017-01-03T16:06:30.000
xiexiao1000001,华AEB132,,107,2017-01-03T16:06:40.000
xiexiao1000001,华AEB132,,96,2017-01-03T16:06:50.000
xiexiao1000001,华AEB132,,87,2017-01-03T16:07:00.000
xiexiao1000001,华AEB132,1,144,2017-01-03T16:07:00.000
xiexiao1000001,华AEB132,,120,2017-01-03T16:07:01.000
xiexiao1000001,华AEB132,,73,2017-01-03T16:07:10.000
xiexiao1000001,华AEB132,,97,2017-01-03T16:07:20.000
xiexiao1000001,华AEB132,,81,2017-01-03T16:07:30.000
xiexiao1000001,华AEB132,,90,2017-01-03T16:07:40.000
