driverID,carPlateNumber,isOverspeed,Speed,Time
xiezhi1000006,华A6CU11,,65,2017-01-01
xiezhi1000006,华A6CU11,,78,2017-01-01
xiezhi1000006,华A6CU11,,76,2017-01-01
xiezhi1000006,华A6CU11,,117,2017-01-01
xiezhi1000006,华A6CU11,,61,2017-01-01
xiezhi1000006,华A6CU11,,114,2017-01-01
xiezhi1000006,华A6CU11,,111,2017-01-01
xiezhi1000006,华A6CU11,,71,2017-01-01
xiezhi1000006,华A6CU11,,119,2017-01-01
xiezhi1000006,华A6CU11,,101,2017-01-01
xiezhi1000006,华A6CU11,,115,2017-01-01
xiezhi1000006,华A6CU11,,108,2017-01-01
xiezhi1000006,华A6CU11,,90,2017-01-01
xiezhi1000006,华A6CU11,,110,2017-01-01
xiezhi1000006,华A6CU11,1,125,2017-01-01
xiezhi1000006,华A6CU11,,120,2017-01-01
xiezhi1000006,华A6CU11,,85,2017-01-01
xiezhi1000006,华A6CU11,1,139,2017-01-01
xiezhi1000006,华A6CU11,,120,2017-01-01
xiezhi1000006,华A6CU11,,70,2017-01-01
xiezhi1000006,华A6CU11,1,149,2017-01-01
xiezhi1000006,华A6CU11,,120,2017-01-01
xiezhi1000006,华A6CU11,,61,2017-01-01
xiezhi1000006,华A6CU11,,110,2017-01-01
xiezhi1000006,华A6CU11,,67,2017-01-01
xiezhi1000006,华A6CU11,,114,2017-01-01
xiezhi1000006,华A6CU11,,87,2017-01-01
xiezhi1000006,华A6CU11,,90,2017-01-01
xiezhi1000006,华A6CU11,,67,2017-01-01
xiezhi1000006,华A6CU11,,78,2017-01-01
xiezhi1000006,华A6CU11,,102,2017-01-01
xiezhi1000006,华A6CU11,,108,2017-01-01
xiezhi1000006,华A6CU11,,71,2017-01-01
xiezhi1000006,华A6CU11,,113,2017-01-01
xiezhi1000006,华A6CU11,,70,2017-01-01
xiezhi1000006,华A6CU11,,69,2017-01-01
xiezhi1000006,华A6CU11,,64,2017-01-01
xiezhi1000006,华A6CU11,,79,2017-01-01
xiezhi1000006,华A6CU11,,65,2017-01-01
xiezhi1000006,华A6CU11,,70,2017-01-01
xiezhi1000006,华A6CU11,,84,2017-01-01
xiezhi1000006,华A6CU11,,81,2017-01-01
xiezhi1000006,华A6CU11,,114,2017-01-01
xiezhi1000006,华A6CU11,,96,2017-01-01
xiezhi1000006,华A6CU11,,94,2017-01-01
xiezhi1000006,华A6CU11,1,125,2017-01-01
xiezhi1000006,华A6CU11,,120,2017-01-01
xiezhi1000006,华A6CU11,,75,2017-01-01
xiezhi1000006,华A6CU11,1,120,2017-01-01
xiezhi1000006,华A6CU11,,141,2017-01-01
xiezhi1000006,华A6CU11,,120,2017-01-01
xiezhi1000006,华A6CU11,,97,2017-01-01
xiezhi1000006,华A6CU11,,5,2017-01-01
xiezhi1000006,华A6CU11,,11,2017-01-01
xiezhi1000006,华A6CU11,,1,2017-01-01
xiezhi1000006,华A6CU11,,0,2017-01-01
xiezhi1000006,华A6CU11,,9,2017-01-01
xiezhi1000006,华A6CU11,,71,2017-01-01
xiezhi1000006,华A6CU11,,100,2017-01-01
xiezhi1000006,华A6CU11,,73,2017-01-01
xiezhi1000006,华A6CU11,,61,2017-01-01
xiezhi1000006,华A6CU11,,84,2017-01-01
xiezhi1000006,华A6CU11,,90,2017-01-01
xiezhi1000006,华A6CU11,,94,2017-01-01
xiezhi1000006,华A6CU11,,62,2017-01-01
xiezhi1000006,华A6CU11,,92,2017-01-01
xiezhi1000006,华A6CU11,,77,2017-01-01
xiezhi1000006,华A6CU11,,77,2017-01-01
xiezhi1000006,华A6CU11,1,139,2017-01-01
xiezhi1000006,华A6CU11,,132,2017-01-01
xiezhi1000006,华A6CU11,,120,2017-01-01
xiezhi1000006,华A6CU11,,113,2017-01-01
xiezhi1000006,华A6CU11,,85,2017-01-01
xiezhi1000006,华A6CU11,,82,2017-01-01
xiezhi1000006,华A6CU11,,63,2017-01-01
xiezhi1000006,华A6CU11,,114,2017-01-01
xiezhi1000006,华A6CU11,,87,2017-01-01
xiezhi1000006,华A6CU11,1,129,2017-01-01
xiezhi1000006,华A6CU11,,120,2017-01-01
