driverID,carPlateNumber,isOverspeed,Speed,Time
xiezhi1000006,华A6CU11,,65,2017-01-01T08:00:07.000+08:00
xiezhi1000006,华A6CU11,,78,2017-01-01T08:00:10.000+08:00
xiezhi1000006,华A6CU11,,76,2017-01-01T08:00:20.000+08:00
xiezhi1000006,华A6CU11,,117,2017-01-01T08:00:26.000+08:00
xiezhi1000006,华A6CU11,,61,2017-01-01T08:00:30.000+08:00
xiezhi1000006,华A6CU11,,114,2017-01-01T08:00:40.000+08:00
xiezhi1000006,华A6CU11,,111,2017-01-01T08:00:50.000+08:00
xiezhi1000006,华A6CU11,,71,2017-01-01T08:01:00.000+08:00
xiezhi1000006,华A6CU11,,119,2017-01-01T08:01:10.000+08:00
xiezhi1000006,华A6CU11,,101,2017-01-01T08:01:20.000+08:00
xiezhi1000006,华A6CU11,,115,2017-01-01T08:01:30.000+08:00
xiezhi1000006,华A6CU11,,108,2017-01-01T08:01:40.000+08:00
xiezhi1000006,华A6CU11,,90,2017-01-01T08:01:50.000+08:00
xiezhi1000006,华A6CU11,,110,2017-01-01T08:02:00.000+08:00
xiezhi1000006,华A6CU11,1,125,2017-01-01T08:02:02.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-01T08:02:04.000+08:00
xiezhi1000006,华A6CU11,,85,2017-01-01T08:02:10.000+08:00
xiezhi1000006,华A6CU11,1,139,2017-01-01T08:02:12.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-01T08:02:15.000+08:00
xiezhi1000006,华A6CU11,,70,2017-01-01T08:02:20.000+08:00
xiezhi1000006,华A6CU11,1,149,2017-01-01T08:02:22.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-01T08:02:26.000+08:00
xiezhi1000006,华A6CU11,,61,2017-01-01T08:02:30.000+08:00
xiezhi1000006,华A6CU11,,110,2017-01-01T08:02:40.000+08:00
xiezhi1000006,华A6CU11,,67,2017-01-01T08:02:50.000+08:00
xiezhi1000006,华A6CU11,,114,2017-01-01T08:03:00.000+08:00
